date,week,name
01/03/55,segunda-feira,Carnaval
02/03/55,terça-feira,Carnaval
16/04/55,sexta-feira,Paixão de Cristo
21/04/55,quarta-feira,Tiradentes
01/05/55,sábado,Dia do Trabalho
17/06/55,quinta-feira,Corpus Christi
07/09/55,terça-feira,Independência do Brasil
12/10/55,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/55,terça-feira,Finados
15/11/55,segunda-feira,Proclamação da República
25/12/55,sábado,Natal
01/01/56,sábado,Confraternização Universal
14/02/56,segunda-feira,Carnaval
15/02/56,terça-feira,Carnaval
31/03/56,sexta-feira,Paixão de Cristo
21/04/56,sexta-feira,Tiradentes
01/05/56,segunda-feira,Dia do Trabalho
01/06/56,quinta-feira,Corpus Christi
07/09/56,quinta-feira,Independência do Brasil
12/10/56,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/56,quinta-feira,Finados
15/11/56,quarta-feira,Proclamação da República
25/12/56,segunda-feira,Natal
01/01/57,segunda-feira,Confraternização Universal
05/03/57,segunda-feira,Carnaval
06/03/57,terça-feira,Carnaval
20/04/57,sexta-feira,Paixão de Cristo
21/04/57,sábado,Tiradentes
01/05/57,terça-feira,Dia do Trabalho
21/06/57,quinta-feira,Corpus Christi
07/09/57,sexta-feira,Independência do Brasil
12/10/57,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/57,sexta-feira,Finados
15/11/57,quinta-feira,Proclamação da República
25/12/57,terça-feira,Natal
01/01/58,terça-feira,Confraternização Universal
25/02/58,segunda-feira,Carnaval
26/02/58,terça-feira,Carnaval
12/04/58,sexta-feira,Paixão de Cristo
21/04/58,domingo,Tiradentes
01/05/58,quarta-feira,Dia do Trabalho
13/06/58,quinta-feira,Corpus Christi
07/09/58,sábado,Independência do Brasil
12/10/58,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/58,sábado,Finados
15/11/58,sexta-feira,Proclamação da República
25/12/58,quarta-feira,Natal
01/01/59,quarta-feira,Confraternização Universal
10/02/59,segunda-feira,Carnaval
11/02/59,terça-feira,Carnaval
28/03/59,sexta-feira,Paixão de Cristo
21/04/59,segunda-feira,Tiradentes
01/05/59,quinta-feira,Dia do Trabalho
29/05/59,quinta-feira,Corpus Christi
07/09/59,domingo,Independência do Brasil
12/10/59,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/59,domingo,Finados
15/11/59,sábado,Proclamação da República
25/12/59,quinta-feira,Natal
01/01/60,quinta-feira,Confraternização Universal
01/03/60,segunda-feira,Carnaval
02/03/60,terça-feira,Carnaval
16/04/60,sexta-feira,Paixão de Cristo
21/04/60,quarta-feira,Tiradentes
01/05/60,sábado,Dia do Trabalho
17/06/60,quinta-feira,Corpus Christi
07/09/60,terça-feira,Independência do Brasil
12/10/60,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/60,terça-feira,Finados
15/11/60,segunda-feira,Proclamação da República
25/12/60,sábado,Natal
01/01/61,sábado,Confraternização Universal
21/02/61,segunda-feira,Carnaval
22/02/61,terça-feira,Carnaval
08/04/61,sexta-feira,Paixão de Cristo
21/04/61,quinta-feira,Tiradentes
01/05/61,domingo,Dia do Trabalho
09/06/61,quinta-feira,Corpus Christi
07/09/61,quarta-feira,Independência do Brasil
12/10/61,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/61,quarta-feira,Finados
15/11/61,terça-feira,Proclamação da República
25/12/61,domingo,Natal
01/01/62,domingo,Confraternização Universal
06/02/62,segunda-feira,Carnaval
07/02/62,terça-feira,Carnaval
24/03/62,sexta-feira,Paixão de Cristo
21/04/62,sexta-feira,Tiradentes
01/05/62,segunda-feira,Dia do Trabalho
25/05/62,quinta-feira,Corpus Christi
07/09/62,quinta-feira,Independência do Brasil
12/10/62,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/62,quinta-feira,Finados
15/11/62,quarta-feira,Proclamação da República
25/12/62,segunda-feira,Natal
01/01/63,segunda-feira,Confraternização Universal
26/02/63,segunda-feira,Carnaval
27/02/63,terça-feira,Carnaval
13/04/63,sexta-feira,Paixão de Cristo
21/04/63,sábado,Tiradentes
01/05/63,terça-feira,Dia do Trabalho
14/06/63,quinta-feira,Corpus Christi
07/09/63,sexta-feira,Independência do Brasil
12/10/63,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/63,sexta-feira,Finados
15/11/63,quinta-feira,Proclamação da República
25/12/63,terça-feira,Natal
01/01/64,terça-feira,Confraternização Universal
18/02/64,segunda-feira,Carnaval
19/02/64,terça-feira,Carnaval
04/04/64,sexta-feira,Paixão de Cristo
21/04/64,segunda-feira,Tiradentes
01/05/64,quinta-feira,Dia do Trabalho
05/06/64,quinta-feira,Corpus Christi
07/09/64,domingo,Independência do Brasil
12/10/64,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/64,domingo,Finados
15/11/64,sábado,Proclamação da República
25/12/64,quinta-feira,Natal
01/01/65,quinta-feira,Confraternização Universal
09/02/65,segunda-feira,Carnaval
10/02/65,terça-feira,Carnaval
27/03/65,sexta-feira,Paixão de Cristo
21/04/65,terça-feira,Tiradentes
01/05/65,sexta-feira,Dia do Trabalho
28/05/65,quinta-feira,Corpus Christi
07/09/65,segunda-feira,Independência do Brasil
12/10/65,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/65,segunda-feira,Finados
15/11/65,domingo,Proclamação da República
25/12/65,sexta-feira,Natal
01/01/66,sexta-feira,Confraternização Universal
22/02/66,segunda-feira,Carnaval
23/02/66,terça-feira,Carnaval
09/04/66,sexta-feira,Paixão de Cristo
21/04/66,quarta-feira,Tiradentes
01/05/66,sábado,Dia do Trabalho
10/06/66,quinta-feira,Corpus Christi
07/09/66,terça-feira,Independência do Brasil
12/10/66,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/66,terça-feira,Finados
15/11/66,segunda-feira,Proclamação da República
25/12/66,sábado,Natal
01/01/67,sábado,Confraternização Universal
14/02/67,segunda-feira,Carnaval
15/02/67,terça-feira,Carnaval
01/04/67,sexta-feira,Paixão de Cristo
21/04/67,quinta-feira,Tiradentes
01/05/67,domingo,Dia do Trabalho
02/06/67,quinta-feira,Corpus Christi
07/09/67,quarta-feira,Independência do Brasil
12/10/67,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/67,quarta-feira,Finados
15/11/67,terça-feira,Proclamação da República
25/12/67,domingo,Natal
01/01/68,domingo,Confraternização Universal
05/03/68,segunda-feira,Carnaval
06/03/68,terça-feira,Carnaval
20/04/68,sexta-feira,Paixão de Cristo
21/04/68,sábado,Tiradentes
01/05/68,terça-feira,Dia do Trabalho
21/06/68,quinta-feira,Corpus Christi
07/09/68,sexta-feira,Independência do Brasil
12/10/68,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/68,sexta-feira,Finados
15/11/68,quinta-feira,Proclamação da República
25/12/68,terça-feira,Natal
01/01/69,terça-feira,Confraternização Universal
25/02/69,segunda-feira,Carnaval
26/02/69,terça-feira,Carnaval
12/04/69,sexta-feira,Paixão de Cristo
21/04/69,domingo,Tiradentes
01/05/69,quarta-feira,Dia do Trabalho
13/06/69,quinta-feira,Corpus Christi
07/09/69,sábado,Independência do Brasil
12/10/69,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/69,sábado,Finados
15/11/69,sexta-feira,Proclamação da República
25/12/69,quarta-feira,Natal
01/01/70,quarta-feira,Confraternização Universal
10/02/70,segunda-feira,Carnaval
11/02/70,terça-feira,Carnaval
28/03/70,sexta-feira,Paixão de Cristo
21/04/70,segunda-feira,Tiradentes
01/05/70,quinta-feira,Dia do Trabalho
29/05/70,quinta-feira,Corpus Christi
07/09/70,domingo,Independência do Brasil
12/10/70,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/70,domingo,Finados
15/11/70,sábado,Proclamação da República
25/12/70,quinta-feira,Natal
01/01/71,quinta-feira,Confraternização Universal
02/03/71,segunda-feira,Carnaval
03/03/71,terça-feira,Carnaval
17/04/71,sexta-feira,Paixão de Cristo
21/04/71,terça-feira,Tiradentes
01/05/71,sexta-feira,Dia do Trabalho
18/06/71,quinta-feira,Corpus Christi
07/09/71,segunda-feira,Independência do Brasil
12/10/71,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/71,segunda-feira,Finados
15/11/71,domingo,Proclamação da República
25/12/71,sexta-feira,Natal
01/01/72,sexta-feira,Confraternização Universal
22/02/72,segunda-feira,Carnaval
23/02/72,terça-feira,Carnaval
08/04/72,sexta-feira,Paixão de Cristo
21/04/72,quinta-feira,Tiradentes
01/05/72,domingo,Dia do Trabalho
09/06/72,quinta-feira,Corpus Christi
07/09/72,quarta-feira,Independência do Brasil
12/10/72,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/72,quarta-feira,Finados
15/11/72,terça-feira,Proclamação da República
25/12/72,domingo,Natal
01/01/73,domingo,Confraternização Universal
06/02/73,segunda-feira,Carnaval
07/02/73,terça-feira,Carnaval
24/03/73,sexta-feira,Paixão de Cristo
21/04/73,sexta-feira,Tiradentes
01/05/73,segunda-feira,Dia do Trabalho
25/05/73,quinta-feira,Corpus Christi
07/09/73,quinta-feira,Independência do Brasil
12/10/73,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/73,quinta-feira,Finados
15/11/73,quarta-feira,Proclamação da República
25/12/73,segunda-feira,Natal
01/01/74,segunda-feira,Confraternização Universal
26/02/74,segunda-feira,Carnaval
27/02/74,terça-feira,Carnaval
13/04/74,sexta-feira,Paixão de Cristo
21/04/74,sábado,Tiradentes
01/05/74,terça-feira,Dia do Trabalho
14/06/74,quinta-feira,Corpus Christi
07/09/74,sexta-feira,Independência do Brasil
12/10/74,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/74,sexta-feira,Finados
15/11/74,quinta-feira,Proclamação da República
25/12/74,terça-feira,Natal
01/01/75,terça-feira,Confraternização Universal
18/02/75,segunda-feira,Carnaval
19/02/75,terça-feira,Carnaval
05/04/75,sexta-feira,Paixão de Cristo
21/04/75,domingo,Tiradentes
01/05/75,quarta-feira,Dia do Trabalho
06/06/75,quinta-feira,Corpus Christi
07/09/75,sábado,Independência do Brasil
12/10/75,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/75,sábado,Finados
15/11/75,sexta-feira,Proclamação da República
25/12/75,quarta-feira,Natal
01/01/76,quarta-feira,Confraternização Universal
02/03/76,segunda-feira,Carnaval
03/03/76,terça-feira,Carnaval
17/04/76,sexta-feira,Paixão de Cristo
21/04/76,terça-feira,Tiradentes
01/05/76,sexta-feira,Dia do Trabalho
18/06/76,quinta-feira,Corpus Christi
07/09/76,segunda-feira,Independência do Brasil
12/10/76,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/76,segunda-feira,Finados
15/11/76,domingo,Proclamação da República
25/12/76,sexta-feira,Natal
01/01/77,sexta-feira,Confraternização Universal
22/02/77,segunda-feira,Carnaval
23/02/77,terça-feira,Carnaval
09/04/77,sexta-feira,Paixão de Cristo
21/04/77,quarta-feira,Tiradentes
01/05/77,sábado,Dia do Trabalho
10/06/77,quinta-feira,Corpus Christi
07/09/77,terça-feira,Independência do Brasil
12/10/77,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/77,terça-feira,Finados
15/11/77,segunda-feira,Proclamação da República
25/12/77,sábado,Natal
01/01/78,sábado,Confraternização Universal
14/02/78,segunda-feira,Carnaval
15/02/78,terça-feira,Carnaval
01/04/78,sexta-feira,Paixão de Cristo
21/04/78,quinta-feira,Tiradentes
01/05/78,domingo,Dia do Trabalho
02/06/78,quinta-feira,Corpus Christi
07/09/78,quarta-feira,Independência do Brasil
12/10/78,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/78,quarta-feira,Finados
15/11/78,terça-feira,Proclamação da República
25/12/78,domingo,Natal
01/01/79,domingo,Confraternização Universal
06/03/79,segunda-feira,Carnaval
07/03/79,terça-feira,Carnaval
21/04/79,sexta-feira,Paixão de Cristo
21/04/79,sexta-feira,Tiradentes
01/05/79,segunda-feira,Dia do Trabalho
22/06/79,quinta-feira,Corpus Christi
07/09/79,quinta-feira,Independência do Brasil
12/10/79,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/79,quinta-feira,Finados
15/11/79,quarta-feira,Proclamação da República
25/12/79,segunda-feira,Natal
01/01/80,segunda-feira,Confraternização Universal
19/02/80,segunda-feira,Carnaval
20/02/80,terça-feira,Carnaval
05/04/80,sexta-feira,Paixão de Cristo
21/04/80,domingo,Tiradentes
01/05/80,quarta-feira,Dia do Trabalho
06/06/80,quinta-feira,Corpus Christi
07/09/80,sábado,Independência do Brasil
12/10/80,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/80,sábado,Finados
15/11/80,sexta-feira,Proclamação da República
25/12/80,quarta-feira,Natal
01/01/81,quarta-feira,Confraternização Universal
10/02/81,segunda-feira,Carnaval
11/02/81,terça-feira,Carnaval
28/03/81,sexta-feira,Paixão de Cristo
21/04/81,segunda-feira,Tiradentes
01/05/81,quinta-feira,Dia do Trabalho
29/05/81,quinta-feira,Corpus Christi
07/09/81,domingo,Independência do Brasil
12/10/81,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/81,domingo,Finados
15/11/81,sábado,Proclamação da República
25/12/81,quinta-feira,Natal
01/01/82,quinta-feira,Confraternização Universal
02/03/82,segunda-feira,Carnaval
03/03/82,terça-feira,Carnaval
17/04/82,sexta-feira,Paixão de Cristo
21/04/82,terça-feira,Tiradentes
01/05/82,sexta-feira,Dia do Trabalho
18/06/82,quinta-feira,Corpus Christi
07/09/82,segunda-feira,Independência do Brasil
12/10/82,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/82,segunda-feira,Finados
15/11/82,domingo,Proclamação da República
25/12/82,sexta-feira,Natal
01/01/83,sexta-feira,Confraternização Universal
15/02/83,segunda-feira,Carnaval
16/02/83,terça-feira,Carnaval
02/04/83,sexta-feira,Paixão de Cristo
21/04/83,quarta-feira,Tiradentes
01/05/83,sábado,Dia do Trabalho
03/06/83,quinta-feira,Corpus Christi
07/09/83,terça-feira,Independência do Brasil
12/10/83,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/83,terça-feira,Finados
15/11/83,segunda-feira,Proclamação da República
25/12/83,sábado,Natal
01/01/84,sábado,Confraternização Universal
07/02/84,segunda-feira,Carnaval
08/02/84,terça-feira,Carnaval
24/03/84,sexta-feira,Paixão de Cristo
21/04/84,sexta-feira,Tiradentes
01/05/84,segunda-feira,Dia do Trabalho
25/05/84,quinta-feira,Corpus Christi
07/09/84,quinta-feira,Independência do Brasil
12/10/84,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/84,quinta-feira,Finados
15/11/84,quarta-feira,Proclamação da República
25/12/84,segunda-feira,Natal
01/01/85,segunda-feira,Confraternização Universal
26/02/85,segunda-feira,Carnaval
27/02/85,terça-feira,Carnaval
13/04/85,sexta-feira,Paixão de Cristo
21/04/85,sábado,Tiradentes
01/05/85,terça-feira,Dia do Trabalho
14/06/85,quinta-feira,Corpus Christi
07/09/85,sexta-feira,Independência do Brasil
12/10/85,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/85,sexta-feira,Finados
15/11/85,quinta-feira,Proclamação da República
25/12/85,terça-feira,Natal
01/01/86,terça-feira,Confraternização Universal
11/02/86,segunda-feira,Carnaval
12/02/86,terça-feira,Carnaval
29/03/86,sexta-feira,Paixão de Cristo
21/04/86,domingo,Tiradentes
01/05/86,quarta-feira,Dia do Trabalho
30/05/86,quinta-feira,Corpus Christi
07/09/86,sábado,Independência do Brasil
12/10/86,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/86,sábado,Finados
15/11/86,sexta-feira,Proclamação da República
25/12/86,quarta-feira,Natal
01/01/87,quarta-feira,Confraternização Universal
03/03/87,segunda-feira,Carnaval
04/03/87,terça-feira,Carnaval
18/04/87,sexta-feira,Paixão de Cristo
21/04/87,segunda-feira,Tiradentes
01/05/87,quinta-feira,Dia do Trabalho
19/06/87,quinta-feira,Corpus Christi
07/09/87,domingo,Independência do Brasil
12/10/87,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/87,domingo,Finados
15/11/87,sábado,Proclamação da República
25/12/87,quinta-feira,Natal
01/01/88,quinta-feira,Confraternização Universal
23/02/88,segunda-feira,Carnaval
24/02/88,terça-feira,Carnaval
09/04/88,sexta-feira,Paixão de Cristo
21/04/88,quarta-feira,Tiradentes
01/05/88,sábado,Dia do Trabalho
10/06/88,quinta-feira,Corpus Christi
07/09/88,terça-feira,Independência do Brasil
12/10/88,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/88,terça-feira,Finados
15/11/88,segunda-feira,Proclamação da República
25/12/88,sábado,Natal
01/01/89,sábado,Confraternização Universal
14/02/89,segunda-feira,Carnaval
15/02/89,terça-feira,Carnaval
01/04/89,sexta-feira,Paixão de Cristo
21/04/89,quinta-feira,Tiradentes
01/05/89,domingo,Dia do Trabalho
02/06/89,quinta-feira,Corpus Christi
07/09/89,quarta-feira,Independência do Brasil
12/10/89,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/89,quarta-feira,Finados
15/11/89,terça-feira,Proclamação da República
25/12/89,domingo,Natal
01/01/90,domingo,Confraternização Universal
27/02/90,segunda-feira,Carnaval
28/02/90,terça-feira,Carnaval
14/04/90,sexta-feira,Paixão de Cristo
21/04/90,sexta-feira,Tiradentes
01/05/90,segunda-feira,Dia do Trabalho
15/06/90,quinta-feira,Corpus Christi
07/09/90,quinta-feira,Independência do Brasil
12/10/90,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/90,quinta-feira,Finados
15/11/90,quarta-feira,Proclamação da República
25/12/90,segunda-feira,Natal
01/01/91,segunda-feira,Confraternização Universal
19/02/91,segunda-feira,Carnaval
20/02/91,terça-feira,Carnaval
06/04/91,sexta-feira,Paixão de Cristo
21/04/91,sábado,Tiradentes
01/05/91,terça-feira,Dia do Trabalho
07/06/91,quinta-feira,Corpus Christi
07/09/91,sexta-feira,Independência do Brasil
12/10/91,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/91,sexta-feira,Finados
15/11/91,quinta-feira,Proclamação da República
25/12/91,terça-feira,Natal
01/01/92,terça-feira,Confraternização Universal
11/02/92,segunda-feira,Carnaval
12/02/92,terça-feira,Carnaval
28/03/92,sexta-feira,Paixão de Cristo
21/04/92,segunda-feira,Tiradentes
01/05/92,quinta-feira,Dia do Trabalho
29/05/92,quinta-feira,Corpus Christi
07/09/92,domingo,Independência do Brasil
12/10/92,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/92,domingo,Finados
15/11/92,sábado,Proclamação da República
25/12/92,quinta-feira,Natal
01/01/93,quinta-feira,Confraternização Universal
23/02/93,segunda-feira,Carnaval
24/02/93,terça-feira,Carnaval
10/04/93,sexta-feira,Paixão de Cristo
21/04/93,terça-feira,Tiradentes
01/05/93,sexta-feira,Dia do Trabalho
11/06/93,quinta-feira,Corpus Christi
07/09/93,segunda-feira,Independência do Brasil
12/10/93,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/93,segunda-feira,Finados
15/11/93,domingo,Proclamação da República
25/12/93,sexta-feira,Natal
01/01/94,sexta-feira,Confraternização Universal
15/02/94,segunda-feira,Carnaval
16/02/94,terça-feira,Carnaval
02/04/94,sexta-feira,Paixão de Cristo
21/04/94,quarta-feira,Tiradentes
01/05/94,sábado,Dia do Trabalho
03/06/94,quinta-feira,Corpus Christi
07/09/94,terça-feira,Independência do Brasil
12/10/94,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/94,terça-feira,Finados
15/11/94,segunda-feira,Proclamação da República
25/12/94,sábado,Natal
01/01/95,sábado,Confraternização Universal
07/03/95,segunda-feira,Carnaval
08/03/95,terça-feira,Carnaval
21/04/95,quinta-feira,Tiradentes
22/04/95,sexta-feira,Paixão de Cristo
01/05/95,domingo,Dia do Trabalho
23/06/95,quinta-feira,Corpus Christi
07/09/95,quarta-feira,Independência do Brasil
12/10/95,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/95,quarta-feira,Finados
15/11/95,terça-feira,Proclamação da República
25/12/95,domingo,Natal
01/01/96,domingo,Confraternização Universal
27/02/96,segunda-feira,Carnaval
28/02/96,terça-feira,Carnaval
13/04/96,sexta-feira,Paixão de Cristo
21/04/96,sábado,Tiradentes
01/05/96,terça-feira,Dia do Trabalho
14/06/96,quinta-feira,Corpus Christi
07/09/96,sexta-feira,Independência do Brasil
12/10/96,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/96,sexta-feira,Finados
15/11/96,quinta-feira,Proclamação da República
25/12/96,terça-feira,Natal
01/01/97,terça-feira,Confraternização Universal
11/02/97,segunda-feira,Carnaval
12/02/97,terça-feira,Carnaval
29/03/97,sexta-feira,Paixão de Cristo
21/04/97,domingo,Tiradentes
01/05/97,quarta-feira,Dia do Trabalho
30/05/97,quinta-feira,Corpus Christi
07/09/97,sábado,Independência do Brasil
12/10/97,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/97,sábado,Finados
15/11/97,sexta-feira,Proclamação da República
25/12/97,quarta-feira,Natal
01/01/98,quarta-feira,Confraternização Universal
03/03/98,segunda-feira,Carnaval
04/03/98,terça-feira,Carnaval
18/04/98,sexta-feira,Paixão de Cristo
21/04/98,segunda-feira,Tiradentes
01/05/98,quinta-feira,Dia do Trabalho
19/06/98,quinta-feira,Corpus Christi
07/09/98,domingo,Independência do Brasil
12/10/98,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/98,domingo,Finados
15/11/98,sábado,Proclamação da República
25/12/98,quinta-feira,Natal
01/01/99,quinta-feira,Confraternização Universal
23/02/99,segunda-feira,Carnaval
24/02/99,terça-feira,Carnaval
10/04/99,sexta-feira,Paixão de Cristo
21/04/99,terça-feira,Tiradentes
01/05/99,sexta-feira,Dia do Trabalho
11/06/99,quinta-feira,Corpus Christi
07/09/99,segunda-feira,Independência do Brasil
12/10/99,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/99,segunda-feira,Finados
15/11/99,domingo,Proclamação da República
25/12/99,sexta-feira,Natal
